pathway,label,category
GO_MITOTIC_CYTOKINESIS,20.0,GO_CELL_CYCLE_PROCESS
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_ENDOTHELIAL_CELL_DEVELOPMENT,9.0,GO_CELLULAR_DEVELOPMENTAL_PROCESS
GO_LIPID_MODIFICATION,12.0,GO_CELLULAR_METABOLIC_PROCESS
GO_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_HEMOGLOBIN_METABOLIC_PROCESS,49.0,GO_ORGANIC_SUBSTANCE_METABOLIC_PROCESS
GO_CHROMOSOME_ORGANIZATION,8.0,GO_CELLULAR_COMPONENT_ORGANIZATION_OR_BIOGENESIS
GO_SYNAPTIC_VESICLE_LOCALIZATION,11.0,GO_CELLULAR_LOCALIZATION
GO_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_CYTOKINE_METABOLIC_PROCESS,49.0,GO_ORGANIC_SUBSTANCE_METABOLIC_PROCESS
GO_STEROID_BIOSYNTHETIC_PROCESS,49.0,GO_ORGANIC_SUBSTANCE_METABOLIC_PROCESS
GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT,11.0,GO_CELLULAR_LOCALIZATION
GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_RESPONSE_TO_ETHANOL,57.0,GO_RESPONSE_TO_CHEMICAL
GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING,54.0,GO_REGULATION_OF_MOLECULAR_FUNCTION
GO_REGULATION_OF_VASCULOGENESIS,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_LENS_FIBER_CELL_DIFFERENTIATION,9.0,GO_CELLULAR_DEVELOPMENTAL_PROCESS
GO_REGULATION_OF_LIPID_STORAGE,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_CARBOHYDRATE_TRANSPORT,31.0,GO_ESTABLISHMENT_OF_LOCALIZATION
GO_EMBRYONIC_HEMOPOIESIS,2.0,GO_ANATOMICAL_STRUCTURE_DEVELOPMENT
GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING,2.0,GO_ANATOMICAL_STRUCTURE_DEVELOPMENT
GO_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT,23.0,GO_CELL_MOTILITY
GO_PHOSPHOLIPID_METABOLIC_PROCESS,12.0,GO_CELLULAR_METABOLIC_PROCESS
GO_REGULATION_OF_INTERLEUKIN_4_PRODUCTION,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_REGULATION_OF_FAT_CELL_DIFFERENTIATION,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_MAMMARY_GLAND_MORPHOGENESIS,4.0,GO_ANATOMICAL_STRUCTURE_MORPHOGENESIS
GO_CYTOPLASMIC_MICROTUBULE_ORGANIZATION,8.0,GO_CELLULAR_COMPONENT_ORGANIZATION_OR_BIOGENESIS
GO_PROTEIN_ACTIVATION_CASCADE,49.0,GO_ORGANIC_SUBSTANCE_METABOLIC_PROCESS
GO_LUNG_EPITHELIUM_DEVELOPMENT,2.0,GO_ANATOMICAL_STRUCTURE_DEVELOPMENT
GO_DENDRITIC_CELL_DIFFERENTIATION,9.0,GO_CELLULAR_DEVELOPMENTAL_PROCESS
GO_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_ACID_SECRETION,31.0,GO_ESTABLISHMENT_OF_LOCALIZATION
GO_ANTIMICROBIAL_HUMORAL_RESPONSE,34.0,GO_IMMUNE_RESPONSE
GO_EPIDERMIS_MORPHOGENESIS,4.0,GO_ANATOMICAL_STRUCTURE_MORPHOGENESIS
GO_RESPONSE_TO_ZINC_ION,57.0,GO_RESPONSE_TO_CHEMICAL
GO_CELL_PART_MORPHOGENESIS,9.0,GO_CELLULAR_DEVELOPMENTAL_PROCESS
GO_PIGMENT_GRANULE_LOCALIZATION,11.0,GO_CELLULAR_LOCALIZATION
GO_SKELETAL_MUSCLE_TISSUE_REGENERATION,2.0,GO_ANATOMICAL_STRUCTURE_DEVELOPMENT
GO_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS,49.0,GO_ORGANIC_SUBSTANCE_METABOLIC_PROCESS
GO_RIBOSOME_BIOGENESIS,8.0,GO_CELLULAR_COMPONENT_ORGANIZATION_OR_BIOGENESIS
GO_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,12.0,GO_CELLULAR_METABOLIC_PROCESS
GO_DENDRITIC_CELL_MIGRATION,23.0,GO_CELL_MOTILITY
GO_SENSORY_PERCEPTION_OF_TEMPERATURE_STIMULUS,63.0,GO_SYSTEM_PROCESS
GO_LYSOSOMAL_TRANSPORT,31.0,GO_ESTABLISHMENT_OF_LOCALIZATION
GO_POSITIVE_REGULATION_OF_HEMOPOIESIS,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_REGULATION_OF_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_MYELOID_CELL_HOMEOSTASIS,48.0,GO_MYELOID_CELL_HOMEOSTASIS
GO_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_REGULATION_OF_ERBB_SIGNALING_PATHWAY,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_SYNAPSE_ORGANIZATION,8.0,GO_CELLULAR_COMPONENT_ORGANIZATION_OR_BIOGENESIS
GO_METANEPHROS_DEVELOPMENT,2.0,GO_ANATOMICAL_STRUCTURE_DEVELOPMENT
GO_COLLAGEN_FIBRIL_ORGANIZATION,8.0,GO_CELLULAR_COMPONENT_ORGANIZATION_OR_BIOGENESIS
GO_RESPONSE_TO_ESTRADIOL,57.0,GO_RESPONSE_TO_CHEMICAL
GO_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_CELL_CHEMOTAXIS,23.0,GO_CELL_MOTILITY
GO_CARDIAC_LEFT_VENTRICLE_MORPHOGENESIS,4.0,GO_ANATOMICAL_STRUCTURE_MORPHOGENESIS
GO_RESPONSE_TO_AMINE,57.0,GO_RESPONSE_TO_CHEMICAL
GO_REGULATION_OF_ORGANIC_ACID_TRANSPORT,52.0,GO_REGULATION_OF_BIOLOGICAL_PROCESS
GO_PROSTATE_GLAND_MORPHOGENESIS,30.0,GO_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION
